trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,15,3.5050130648597104,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.4883169786224,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.43468622829153,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.85350464094086,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.26054824106905,"{0: 11, 1: 7, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.82644698433744,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.1519689948217,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.68106798546714,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.8220234452084,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.65087622561981,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.92087092092095,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.11080302007264,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.18005488296038,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.97156243008624,"{0: 19, 1: 2, 2: 3, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.42375037583604,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.19952532377295,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,8,-62.27319055120307,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.97568246563648,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.89130480243892,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.11821611708152,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,2,-93.3300773053885,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.76823216046323,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,10,-30.711915246341686,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.94079629936934,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.8930450536712,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.72719077602574,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.91995882783925,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.48000109412558,"{0: 12, 1: 8, 2: 2, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,13,-22.304414968819792,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.04876681757233,"{0: 6, 1: 4, 2: 9, 3: 0, 4: 1}",0
